,datetime,ipsrc,ipdst,dstport,proto,action,policyid,is_ip_bad
0,2024-03-11 11:54:04,192.168.182.1,192.168.182.130,58918,TCP,Deny,34,False
1,2024-03-11 11:54:04,192.168.182.1,192.168.182.130,58918,TCP,Deny,34,False
2,2024-03-11 11:54:29,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
3,2024-03-11 11:54:29,192.168.182.1,192.168.182.130,58918,TCP,Deny,34,False
4,2024-03-11 11:54:29,192.168.182.1,192.168.182.130,58918,TCP,Deny,34,False
5,2024-03-11 11:54:42,192.168.182.2,192.168.182.130,55511,UDP,Permit,6,False
6,2024-03-11 11:54:42,142.250.179.99,192.168.182.130,54038,UDP,Permit,6,False
7,2024-03-11 11:54:42,142.250.179.99,192.168.182.130,54038,UDP,Permit,6,False
8,2024-03-11 11:54:42,142.250.179.99,192.168.182.130,54038,UDP,Permit,6,False
9,2024-03-11 11:54:43,142.250.179.99,192.168.182.130,54038,UDP,Permit,6,False
10,2024-03-11 11:54:57,192.168.182.1,192.168.182.130,58918,TCP,Deny,34,False
11,2024-03-11 11:54:57,192.168.182.1,192.168.182.130,50732,TCP,Deny,34,False
12,2024-03-11 11:54:57,192.168.182.1,192.168.182.130,50732,TCP,Deny,34,False
13,2024-03-11 11:55:12,192.168.182.1,192.168.182.130,50732,TCP,Deny,34,False
14,2024-03-11 11:55:13,192.168.182.1,192.168.182.130,50732,TCP,Deny,34,False
15,2024-03-11 11:56:43,192.168.182.1,192.168.182.130,50732,TCP,Deny,34,False
16,2024-03-11 11:56:43,192.168.182.1,192.168.182.130,50732,TCP,Deny,34,False
17,2024-03-11 11:56:45,142.250.179.99,192.168.182.130,60053,UDP,Permit,6,False
18,2024-03-11 11:56:45,142.250.179.99,192.168.182.130,60053,UDP,Permit,6,False
19,2024-03-11 11:56:45,142.250.179.99,192.168.182.130,60053,UDP,Permit,6,False
20,2024-03-11 11:57:00,192.168.182.1,192.168.182.130,50732,TCP,Deny,34,False
21,2024-03-11 11:57:00,192.168.182.1,192.168.182.130,50732,TCP,Deny,34,False
22,2024-03-11 11:57:15,192.168.182.1,192.168.182.130,50732,TCP,Deny,34,False
23,2024-03-11 11:57:15,192.168.182.1,192.168.182.130,50732,TCP,Deny,34,False
24,2024-03-11 11:57:30,192.168.182.1,192.168.182.130,50732,TCP,Deny,34,False
25,2024-03-11 11:57:31,159.84.181.103,192.168.182.130,58898,TCP,Deny,34,False
26,2024-03-11 11:57:31,159.84.181.103,192.168.182.130,58898,TCP,Deny,34,False
27,2024-03-11 11:57:36,159.84.181.103,192.168.182.130,58898,TCP,Deny,34,False
28,2024-03-11 11:57:36,159.84.181.103,192.168.182.130,58898,TCP,Deny,34,False
29,2024-03-11 11:57:36,192.168.182.1,192.168.182.130,50732,TCP,Deny,34,False
30,2024-03-11 11:58:06,192.168.182.1,192.168.182.130,50732,TCP,Deny,34,False
31,2024-03-11 11:58:42,192.168.182.2,192.168.182.130,36565,UDP,Permit,6,False
32,2024-03-11 11:58:42,142.250.179.99,192.168.182.130,49985,UDP,Permit,6,False
33,2024-03-11 11:58:45,142.250.179.99,192.168.182.130,49985,UDP,Permit,6,False
34,2024-03-11 11:59:09,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
35,2024-03-11 11:59:09,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
36,2024-03-11 11:59:49,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
37,2024-03-11 12:00:30,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
38,2024-03-11 12:00:43,142.250.179.99,192.168.182.130,42904,UDP,Permit,6,False
39,2024-03-11 12:00:43,142.250.179.99,192.168.182.130,42904,UDP,Permit,6,False
40,2024-03-11 12:00:45,142.250.179.99,192.168.182.130,42904,UDP,Permit,6,False
41,2024-03-11 12:00:45,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
42,2024-03-11 12:00:45,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
43,2024-03-11 12:01:49,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
44,2024-03-11 12:02:40,142.250.179.99,192.168.182.130,50220,TCP,Deny,34,False
45,2024-03-11 12:02:40,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
46,2024-03-11 12:02:40,142.250.179.99,192.168.182.130,50220,TCP,Deny,34,False
47,2024-03-11 12:02:40,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
48,2024-03-11 12:02:42,192.168.182.2,192.168.182.130,52679,UDP,Permit,6,False
49,2024-03-11 12:02:42,142.250.179.99,192.168.182.130,42430,UDP,Permit,6,False
50,2024-03-11 12:02:42,142.250.179.99,192.168.182.130,42430,UDP,Permit,6,False
51,2024-03-11 12:02:42,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
